Protein	PolyQlength
Moramb1|Moramb1_12135	11
Moramb1|Moramb1_16549	14
Moramb1|Moramb1_20278	10
Moramb1|Moramb1_21641	18
Moramb1|Moramb1_21764	10
Moramb1|Moramb1_47465	10
Moramb1|Moramb1_48259	11
Moramb1|Moramb1_53209	13
Moramb1|Moramb1_53430	11
Moramb1|Moramb1_54703	16
Moramb1|Moramb1_65267	13
Moramb1|Moramb1_71129	11
Moramb1|Moramb1_73517	12
Moramb1|Moramb1_74506	11
Moramb1|Moramb1_76801	11
Moramb1|Moramb1_77143	16
Moramb1|Moramb1_82145	10
Moramb1|Moramb1_94744	36
Moramb1|Moramb1_119168	11
Moramb1|Moramb1_139515	10
Moramb1|Moramb1_139956	11
Moramb1|Moramb1_141160	10
Moramb1|Moramb1_143008	15
Moramb1|Moramb1_143110	22
Moramb1|Moramb1_156197	14
Moramb1|Moramb1_162216	13
Moramb1|Moramb1_163213	19
Moramb1|Moramb1_165566	18
Moramb1|Moramb1_173686	17
Moramb1|Moramb1_182602	12
Moramb1|Moramb1_185112	13
Moramb1|Moramb1_185821	12
Moramb1|Moramb1_188705	11
Moramb1|Moramb1_190512	17
Moramb1|Moramb1_192390	12
Moramb1|Moramb1_192612	10
Moramb1|Moramb1_197822	16
Moramb1|Moramb1_202177	11
Moramb1|Moramb1_205445	14
Moramb1|Moramb1_220992	25
Moramb1|Moramb1_222714	17
Moramb1|Moramb1_222812	19
Moramb1|Moramb1_226263	25
Moramb1|Moramb1_234639	17
Moramb1|Moramb1_244276	17
Moramb1|Moramb1_251511	12
Moramb1|Moramb1_251530	12
Moramb1|Moramb1_265312	21
Moramb1|Moramb1_268335	15
Moramb1|Moramb1_268896	13
Moramb1|Moramb1_277020	14
Moramb1|Moramb1_279451	11
Moramb1|Moramb1_280071	16
Moramb1|Moramb1_282087	20
Moramb1|Moramb1_289415	10
Moramb1|Moramb1_297902	12
Moramb1|Moramb1_300144	24
Moramb1|Moramb1_301516	11
Moramb1|Moramb1_305423	12
Moramb1|Moramb1_311553	12
Moramb1|Moramb1_312037	10
Moramb1|Moramb1_315344	11
Moramb1|Moramb1_327765	23
Moramb1|Moramb1_336835	14
Moramb1|Moramb1_360179	10
Moramb1|Moramb1_361220	14
Moramb1|Moramb1_364740	11
Moramb1|Moramb1_368996	11
Moramb1|Moramb1_374425	13
Moramb1|Moramb1_377186	11
Moramb1|Moramb1_378521	13
Moramb1|Moramb1_383228	10
Moramb1|Moramb1_387513	18
Moramb1|Moramb1_387676	14
Moramb1|Moramb1_394850	11
Moramb1|Moramb1_400404	14
Moramb1|Moramb1_410603	10
Moramb1|Moramb1_416904	10
Moramb1|Moramb1_419731	10
Moramb1|Moramb1_421402	10
Moramb1|Moramb1_422696	18
Moramb1|Moramb1_433606	11
Moramb1|Moramb1_438442	10
Moramb1|Moramb1_440760	12
Moramb1|Moramb1_449460	21
Moramb1|Moramb1_449689	13
Moramb1|Moramb1_456771	16
Moramb1|Moramb1_476719	14
Moramb1|Moramb1_483746	14
Moramb1|Moramb1_486712	11
Moramb1|Moramb1_490697	10
Moramb1|Moramb1_495797	11
Moramb1|Moramb1_497722	23
Moramb1|Moramb1_508583	15
Moramb1|Moramb1_527648	10
Moramb1|Moramb1_543934	13
Moramb1|Moramb1_545250	10
Moramb1|Moramb1_545344	12
Moramb1|Moramb1_551580	13
Moramb1|Moramb1_553517	13
Moramb1|Moramb1_564153	13
Moramb1|Moramb1_564784	12
Moramb1|Moramb1_565584	11
Moramb1|Moramb1_569637	14
Moramb1|Moramb1_622281	10
Moramb1|Moramb1_636257	11
Moramb1|Moramb1_640035	21
Moramb1|Moramb1_640280	10
Moramb1|Moramb1_640559	15
Moramb1|Moramb1_642319	10
Moramb1|Moramb1_643405	16
Moramb1|Moramb1_643665	12
Moramb1|Moramb1_645245	15
Moramb1|Moramb1_647507	10
Moramb1|Moramb1_651780	10
Moramb1|Moramb1_655598	10
Moramb1|Moramb1_657714	12
Moramb1|Moramb1_659220	10
Moramb1|Moramb1_659657	10
Moramb1|Moramb1_659772	11
Moramb1|Moramb1_660042	10
Moramb1|Moramb1_660257	11
Moramb1|Moramb1_661552	10
Moramb1|Moramb1_661960	11
Moramb1|Moramb1_662075	11
Moramb1|Moramb1_662854	10
Moramb1|Moramb1_662862	11
Moramb1|Moramb1_663997	17
Moramb1|Moramb1_665023	10
Moramb1|Moramb1_667270	11
Moramb1|Moramb1_667323	10
Moramb1|Moramb1_667898	13
Moramb1|Moramb1_668288	10
Moramb1|Moramb1_668399	11
Moramb1|Moramb1_668797	16
Moramb1|Moramb1_670206	16
Moramb1|Moramb1_670284	12
Moramb1|Moramb1_672224	20
Moramb1|Moramb1_673358	13
Moramb1|Moramb1_674636	10
Moramb1|Moramb1_676220	13
Moramb1|Moramb1_679414	12
Moramb1|Moramb1_680464	12
Moramb1|Moramb1_680503	10
Moramb1|Moramb1_680985	17
Moramb1|Moramb1_683049	10
Moramb1|Moramb1_686085	14
Moramb1|Moramb1_687233	10
Moramb1|Moramb1_688508	12
Moramb1|Moramb1_688820	16
Moramb1|Moramb1_691854	15
Moramb1|Moramb1_696550	10
Moramb1|Moramb1_696765	10
Moramb1|Moramb1_697312	15
Moramb1|Moramb1_701336	11
Moramb1|Moramb1_701633	13
Moramb1|Moramb1_702494	11
Moramb1|Moramb1_703665	13
Moramb1|Moramb1_703750	17
Moramb1|Moramb1_705410	11
Moramb1|Moramb1_707003	11
Moramb1|Moramb1_707472	10
Moramb1|Moramb1_707652	10
Moramb1|Moramb1_707692	10
Moramb1|Moramb1_709391	13
Moramb1|Moramb1_710040	19
Moramb1|Moramb1_710353	33
Moramb1|Moramb1_710493	11
Moramb1|Moramb1_710972	19
Moramb1|Moramb1_712850	15
Moramb1|Moramb1_713005	11
Moramb1|Moramb1_713313	11
Moramb1|Moramb1_713377	20
Moramb1|Moramb1_714200	17
Moramb1|Moramb1_714483	10
Moramb1|Moramb1_714489	11
Moramb1|Moramb1_714983	11
Moramb1|Moramb1_715604	14
