Protein	PolyQlength
Chove1|Chove1_502054	11
Chove1|Chove1_774864	12
Chove1|Chove1_1038200	26
Chove1|Chove1_1384204	13
Chove1|Chove1_1663690	11
Chove1|Chove1_1666830	13
Chove1|Chove1_1670877	18
Chove1|Chove1_1673654	12
Chove1|Chove1_1678073	11
Chove1|Chove1_1691581	14
Chove1|Chove1_1693794	11
Chove1|Chove1_1707376	11
Chove1|Chove1_1741769	10
Chove1|Chove1_1759367	10
Chove1|Chove1_1767200	14
Chove1|Chove1_1767469	10
Chove1|Chove1_1787315	11
Chove1|Chove1_1792978	15
Chove1|Chove1_1795670	10
Chove1|Chove1_1807068	14
Chove1|Chove1_1810978	11
Chove1|Chove1_1812724	11
Chove1|Chove1_1825605	15
Chove1|Chove1_1825973	16
Chove1|Chove1_1828971	21
Chove1|Chove1_1829359	18
Chove1|Chove1_1830033	12
Chove1|Chove1_1832070	10
Chove1|Chove1_1835066	14
