Protein	PolyQlength
AcreTS7_1|AcreTS7_1_188889	10
AcreTS7_1|AcreTS7_1_277286	10
AcreTS7_1|AcreTS7_1_327307	13
AcreTS7_1|AcreTS7_1_391593	12
AcreTS7_1|AcreTS7_1_437922	12
AcreTS7_1|AcreTS7_1_622029	11
AcreTS7_1|AcreTS7_1_622430	13
AcreTS7_1|AcreTS7_1_633979	14
AcreTS7_1|AcreTS7_1_642008	17
AcreTS7_1|AcreTS7_1_659027	11
AcreTS7_1|AcreTS7_1_662043	11
AcreTS7_1|AcreTS7_1_663829	12
AcreTS7_1|AcreTS7_1_670441	23
AcreTS7_1|AcreTS7_1_671951	12
AcreTS7_1|AcreTS7_1_672492	11
AcreTS7_1|AcreTS7_1_680631	12
