Protein	PolyQlength
Artol1|Artol1_43	11
Artol1|Artol1_139	12
Artol1|Artol1_306	20
Artol1|Artol1_671	20
Artol1|Artol1_785	10
Artol1|Artol1_1054	15
Artol1|Artol1_1088	10
Artol1|Artol1_1109	11
Artol1|Artol1_1407	11
Artol1|Artol1_1612	11
Artol1|Artol1_1771	23
Artol1|Artol1_2987	17
Artol1|Artol1_2990	10
Artol1|Artol1_3335	14
Artol1|Artol1_3394	16
Artol1|Artol1_3736	13
Artol1|Artol1_3812	20
Artol1|Artol1_4234	34
Artol1|Artol1_4562	20
Artol1|Artol1_4582	13
Artol1|Artol1_4672	12
Artol1|Artol1_4731	10
Artol1|Artol1_5309	18
Artol1|Artol1_5839	19
Artol1|Artol1_6006	11
Artol1|Artol1_6384	11
Artol1|Artol1_6746	11
Artol1|Artol1_7845	39
Artol1|Artol1_8018	19
Artol1|Artol1_8451	11
Artol1|Artol1_8882	16
Artol1|Artol1_9319	10
Artol1|Artol1_9952	13
Artol1|Artol1_10167	21
Artol1|Artol1_10511	11
Artol1|Artol1_10642	17
Artol1|Artol1_10801	11
Artol1|Artol1_11023	12
Artol1|Artol1_11181	11
Artol1|Artol1_11231	11
