Protein	PolyQlength
RTAIW|RTAIW_000430-T1	18
RTAIW|RTAIW_000493-T1	12
RTAIW|RTAIW_000584-T1	11
RTAIW|RTAIW_001799-T1	10
RTAIW|RTAIW_002472-T1	18
RTAIW|RTAIW_002590-T1	11
RTAIW|RTAIW_003081-T1	11
RTAIW|RTAIW_003146-T1	15
RTAIW|RTAIW_003281-T1	20
RTAIW|RTAIW_003777-T1	10
RTAIW|RTAIW_003825-T1	10
RTAIW|RTAIW_003881-T1	10
RTAIW|RTAIW_003906-T1	12
RTAIW|RTAIW_003967-T1	10
RTAIW|RTAIW_004040-T1	10
RTAIW|RTAIW_004045-T1	10
RTAIW|RTAIW_004537-T1	11
RTAIW|RTAIW_004585-T1	11
RTAIW|RTAIW_004903-T1	10
RTAIW|RTAIW_004912-T1	14
RTAIW|RTAIW_005186-T1	10
RTAIW|RTAIW_005946-T1	12
RTAIW|RTAIW_006400-T1	11
RTAIW|RTAIW_006438-T1	13
RTAIW|RTAIW_006857-T1	13
RTAIW|RTAIW_006968-T1	13
RTAIW|RTAIW_006979-T1	10
RTAIW|RTAIW_007094-T1	11
