Protein	PolyQlength
Asphet1|Asphet1_34824	10
Asphet1|Asphet1_50786	11
Asphet1|Asphet1_65345	13
Asphet1|Asphet1_215716	12
Asphet1|Asphet1_229504	21
Asphet1|Asphet1_255516	12
Asphet1|Asphet1_281478	12
Asphet1|Asphet1_284512	10
Asphet1|Asphet1_293625	14
Asphet1|Asphet1_301581	10
Asphet1|Asphet1_312544	18
Asphet1|Asphet1_316679	16
Asphet1|Asphet1_328931	10
Asphet1|Asphet1_329706	13
Asphet1|Asphet1_338159	15
Asphet1|Asphet1_354557	10
Asphet1|Asphet1_354640	13
Asphet1|Asphet1_358101	11
Asphet1|Asphet1_358672	11
Asphet1|Asphet1_359776	10
Asphet1|Asphet1_360241	10
Asphet1|Asphet1_360823	10
Asphet1|Asphet1_361234	13
Asphet1|Asphet1_361644	13
Asphet1|Asphet1_365520	11
Asphet1|Asphet1_366503	15
Asphet1|Asphet1_368605	11
Asphet1|Asphet1_380263	12
Asphet1|Asphet1_380948	19
Asphet1|Asphet1_385578	10
Asphet1|Asphet1_388654	17
Asphet1|Asphet1_389017	11
Asphet1|Asphet1_390361	11
Asphet1|Asphet1_395143	10
Asphet1|Asphet1_396872	12
Asphet1|Asphet1_397705	11
Asphet1|Asphet1_402125	20
Asphet1|Asphet1_410886	11
Asphet1|Asphet1_428108	11
