Protein	PolyQlength
Cryne_JEC21_1|Cryne_JEC21_1_68	10
Cryne_JEC21_1|Cryne_JEC21_1_231	22
Cryne_JEC21_1|Cryne_JEC21_1_376	14
Cryne_JEC21_1|Cryne_JEC21_1_452	34
Cryne_JEC21_1|Cryne_JEC21_1_697	34
Cryne_JEC21_1|Cryne_JEC21_1_889	10
Cryne_JEC21_1|Cryne_JEC21_1_910	10
Cryne_JEC21_1|Cryne_JEC21_1_1147	17
Cryne_JEC21_1|Cryne_JEC21_1_2306	37
Cryne_JEC21_1|Cryne_JEC21_1_2476	12
Cryne_JEC21_1|Cryne_JEC21_1_2522	10
Cryne_JEC21_1|Cryne_JEC21_1_3175	10
Cryne_JEC21_1|Cryne_JEC21_1_3480	18
Cryne_JEC21_1|Cryne_JEC21_1_3908	15
Cryne_JEC21_1|Cryne_JEC21_1_3924	11
Cryne_JEC21_1|Cryne_JEC21_1_4180	22
Cryne_JEC21_1|Cryne_JEC21_1_4450	27
Cryne_JEC21_1|Cryne_JEC21_1_4550	12
Cryne_JEC21_1|Cryne_JEC21_1_4829	19
Cryne_JEC21_1|Cryne_JEC21_1_4947	15
Cryne_JEC21_1|Cryne_JEC21_1_4955	13
Cryne_JEC21_1|Cryne_JEC21_1_6012	15
