Protein	PolyQlength
Aplpr1|Aplpr1_6494	10
Aplpr1|Aplpr1_21305	12
Aplpr1|Aplpr1_26668	11
Aplpr1|Aplpr1_39311	10
Aplpr1|Aplpr1_64661	11
Aplpr1|Aplpr1_66461	21
Aplpr1|Aplpr1_72479	10
Aplpr1|Aplpr1_85294	14
Aplpr1|Aplpr1_98267	10
Aplpr1|Aplpr1_124203	15
Aplpr1|Aplpr1_138111	10
Aplpr1|Aplpr1_139145	28
Aplpr1|Aplpr1_153492	23
Aplpr1|Aplpr1_156955	11
Aplpr1|Aplpr1_162969	11
Aplpr1|Aplpr1_200136	11
Aplpr1|Aplpr1_218381	18
Aplpr1|Aplpr1_220295	15
Aplpr1|Aplpr1_222866	19
Aplpr1|Aplpr1_226223	11
Aplpr1|Aplpr1_227355	17
Aplpr1|Aplpr1_265099	11
Aplpr1|Aplpr1_282670	11
Aplpr1|Aplpr1_283210	10
Aplpr1|Aplpr1_285234	10
Aplpr1|Aplpr1_286322	13
Aplpr1|Aplpr1_288660	17
Aplpr1|Aplpr1_289932	10
Aplpr1|Aplpr1_290358	21
Aplpr1|Aplpr1_291606	11
Aplpr1|Aplpr1_291701	16
Aplpr1|Aplpr1_292013	10
Aplpr1|Aplpr1_296852	12
Aplpr1|Aplpr1_296867	10
Aplpr1|Aplpr1_297279	42
Aplpr1|Aplpr1_297444	11
Aplpr1|Aplpr1_301406	15
Aplpr1|Aplpr1_301750	10
Aplpr1|Aplpr1_302463	15
Aplpr1|Aplpr1_302997	10
Aplpr1|Aplpr1_303593	13
Aplpr1|Aplpr1_303650	16
Aplpr1|Aplpr1_304384	12
Aplpr1|Aplpr1_304921	15
Aplpr1|Aplpr1_306514	11
Aplpr1|Aplpr1_308571	12
Aplpr1|Aplpr1_309269	12
Aplpr1|Aplpr1_309870	15
Aplpr1|Aplpr1_309987	14
Aplpr1|Aplpr1_310226	11
Aplpr1|Aplpr1_310567	25
Aplpr1|Aplpr1_310817	11
Aplpr1|Aplpr1_311608	22
Aplpr1|Aplpr1_311703	17
Aplpr1|Aplpr1_313150	34
Aplpr1|Aplpr1_313221	20
Aplpr1|Aplpr1_314921	13
Aplpr1|Aplpr1_315092	18
Aplpr1|Aplpr1_317684	10
Aplpr1|Aplpr1_317914	11
Aplpr1|Aplpr1_319116	10
Aplpr1|Aplpr1_319533	15
Aplpr1|Aplpr1_319611	21
Aplpr1|Aplpr1_321472	25
Aplpr1|Aplpr1_322449	11
Aplpr1|Aplpr1_326560	11
Aplpr1|Aplpr1_327560	11
Aplpr1|Aplpr1_335194	11
Aplpr1|Aplpr1_344549	36
Aplpr1|Aplpr1_350715	13
Aplpr1|Aplpr1_351608	10
Aplpr1|Aplpr1_355704	22
Aplpr1|Aplpr1_356005	13
Aplpr1|Aplpr1_356610	14
Aplpr1|Aplpr1_357848	22
Aplpr1|Aplpr1_358146	11
Aplpr1|Aplpr1_359719	12
Aplpr1|Aplpr1_360635	11
