Protein	PolyQlength
Aspfij1|Aspfij1_71359	11
Aspfij1|Aspfij1_82672	12
Aspfij1|Aspfij1_184070	11
Aspfij1|Aspfij1_218452	10
Aspfij1|Aspfij1_252836	10
Aspfij1|Aspfij1_375009	18
Aspfij1|Aspfij1_386760	12
Aspfij1|Aspfij1_388114	11
Aspfij1|Aspfij1_399375	11
Aspfij1|Aspfij1_431257	11
Aspfij1|Aspfij1_437696	13
Aspfij1|Aspfij1_440464	16
Aspfij1|Aspfij1_444066	11
Aspfij1|Aspfij1_444232	10
Aspfij1|Aspfij1_445188	11
Aspfij1|Aspfij1_445301	10
Aspfij1|Aspfij1_445458	11
Aspfij1|Aspfij1_447571	15
Aspfij1|Aspfij1_447756	12
Aspfij1|Aspfij1_448343	10
Aspfij1|Aspfij1_449028	11
Aspfij1|Aspfij1_450089	19
Aspfij1|Aspfij1_453413	12
Aspfij1|Aspfij1_459554	11
Aspfij1|Aspfij1_462276	30
Aspfij1|Aspfij1_464681	10
Aspfij1|Aspfij1_466103	23
Aspfij1|Aspfij1_474073	13
Aspfij1|Aspfij1_480287	13
Aspfij1|Aspfij1_486884	11
Aspfij1|Aspfij1_490579	13
Aspfij1|Aspfij1_491039	10
Aspfij1|Aspfij1_492163	14
Aspfij1|Aspfij1_499677	22
Aspfij1|Aspfij1_500192	15
Aspfij1|Aspfij1_504066	10
Aspfij1|Aspfij1_507902	15
Aspfij1|Aspfij1_517841	19
Aspfij1|Aspfij1_523759	25
Aspfij1|Aspfij1_527692	10
Aspfij1|Aspfij1_529874	19
Aspfij1|Aspfij1_533056	10
