Protein	PolyQlength
Cormi1|Cormi1_347	17
Cormi1|Cormi1_996	47
Cormi1|Cormi1_1177	12
Cormi1|Cormi1_1648	15
Cormi1|Cormi1_1825	12
Cormi1|Cormi1_2239	17
Cormi1|Cormi1_2772	10
Cormi1|Cormi1_2801	14
Cormi1|Cormi1_2930	20
Cormi1|Cormi1_3134	13
Cormi1|Cormi1_3320	11
Cormi1|Cormi1_4193	12
Cormi1|Cormi1_4668	10
Cormi1|Cormi1_4805	15
Cormi1|Cormi1_5949	11
Cormi1|Cormi1_6120	12
Cormi1|Cormi1_6135	12
Cormi1|Cormi1_6357	11
Cormi1|Cormi1_6569	13
Cormi1|Cormi1_6715	13
Cormi1|Cormi1_6769	12
Cormi1|Cormi1_6997	11
Cormi1|Cormi1_7056	11
Cormi1|Cormi1_7081	13
Cormi1|Cormi1_7099	16
Cormi1|Cormi1_7123	10
Cormi1|Cormi1_7210	26
Cormi1|Cormi1_8410	10
Cormi1|Cormi1_8554	25
Cormi1|Cormi1_8645	11
Cormi1|Cormi1_8930	10
Cormi1|Cormi1_9572	10
