Protein	PolyQlength
Valla1|Valla1_11053	14
Valla1|Valla1_39430	32
Valla1|Valla1_67587	10
Valla1|Valla1_105575	12
Valla1|Valla1_276670	10
Valla1|Valla1_375102	14
Valla1|Valla1_400470	13
Valla1|Valla1_515505	16
Valla1|Valla1_519634	10
Valla1|Valla1_537866	10
Valla1|Valla1_576308	11
Valla1|Valla1_577145	12
Valla1|Valla1_578025	10
Valla1|Valla1_581378	10
Valla1|Valla1_581495	10
Valla1|Valla1_582367	11
Valla1|Valla1_589946	28
Valla1|Valla1_590479	15
Valla1|Valla1_591061	10
Valla1|Valla1_591321	12
Valla1|Valla1_592494	12
Valla1|Valla1_592737	23
Valla1|Valla1_593090	11
Valla1|Valla1_593879	10
Valla1|Valla1_594195	11
Valla1|Valla1_594897	13
Valla1|Valla1_601929	10
Valla1|Valla1_620285	15
Valla1|Valla1_623522	12
Valla1|Valla1_624024	14
