Protein	PolyQlength
Conol1|Conol1_30850	11
Conol1|Conol1_35074	10
Conol1|Conol1_118223	11
Conol1|Conol1_219563	12
Conol1|Conol1_316878	21
Conol1|Conol1_448369	12
Conol1|Conol1_467624	16
Conol1|Conol1_817125	10
Conol1|Conol1_833082	10
Conol1|Conol1_852824	14
Conol1|Conol1_857635	11
Conol1|Conol1_857778	10
Conol1|Conol1_883407	13
Conol1|Conol1_885502	12
Conol1|Conol1_893157	12
Conol1|Conol1_938630	12
Conol1|Conol1_954472	10
Conol1|Conol1_957918	10
Conol1|Conol1_959798	12
Conol1|Conol1_966834	11
Conol1|Conol1_975600	15
Conol1|Conol1_1048250	15
