Protein	PolyQlength
Blatri1|Blatri1_259	15
Blatri1|Blatri1_10393	14
Blatri1|Blatri1_42605	49
Blatri1|Blatri1_46994	23
Blatri1|Blatri1_58438	13
Blatri1|Blatri1_74151	13
Blatri1|Blatri1_78030	12
Blatri1|Blatri1_98241	15
Blatri1|Blatri1_116452	19
Blatri1|Blatri1_124453	11
Blatri1|Blatri1_127989	11
Blatri1|Blatri1_222572	13
Blatri1|Blatri1_223348	23
Blatri1|Blatri1_235200	11
Blatri1|Blatri1_300298	14
Blatri1|Blatri1_305414	32
Blatri1|Blatri1_320718	20
Blatri1|Blatri1_326354	40
Blatri1|Blatri1_329526	13
Blatri1|Blatri1_331775	15
Blatri1|Blatri1_338905	47
Blatri1|Blatri1_341991	10
Blatri1|Blatri1_343597	13
Blatri1|Blatri1_343735	12
Blatri1|Blatri1_346975	10
Blatri1|Blatri1_350506	10
Blatri1|Blatri1_352255	11
Blatri1|Blatri1_355052	15
Blatri1|Blatri1_359470	12
Blatri1|Blatri1_363732	10
Blatri1|Blatri1_364867	31
Blatri1|Blatri1_366180	17
Blatri1|Blatri1_376124	25
Blatri1|Blatri1_376139	12
Blatri1|Blatri1_382241	10
Blatri1|Blatri1_385040	13
Blatri1|Blatri1_385491	10
Blatri1|Blatri1_386066	17
Blatri1|Blatri1_386878	24
Blatri1|Blatri1_389566	15
Blatri1|Blatri1_389833	14
Blatri1|Blatri1_390790	11
Blatri1|Blatri1_390955	15
Blatri1|Blatri1_392158	14
Blatri1|Blatri1_393093	14
Blatri1|Blatri1_393936	13
Blatri1|Blatri1_395976	11
Blatri1|Blatri1_396747	16
Blatri1|Blatri1_396868	13
Blatri1|Blatri1_397154	11
Blatri1|Blatri1_398230	10
Blatri1|Blatri1_399964	15
Blatri1|Blatri1_400701	11
Blatri1|Blatri1_401205	12
Blatri1|Blatri1_404782	14
Blatri1|Blatri1_405111	29
Blatri1|Blatri1_406402	20
Blatri1|Blatri1_406959	10
Blatri1|Blatri1_407914	10
Blatri1|Blatri1_408155	12
Blatri1|Blatri1_413697	14
Blatri1|Blatri1_415995	13
Blatri1|Blatri1_417105	11
Blatri1|Blatri1_418108	26
Blatri1|Blatri1_420336	10
Blatri1|Blatri1_425721	10
Blatri1|Blatri1_430483	65
Blatri1|Blatri1_430929	24
Blatri1|Blatri1_431250	51
Blatri1|Blatri1_431438	19
Blatri1|Blatri1_432084	14
Blatri1|Blatri1_434293	11
Blatri1|Blatri1_437942	30
Blatri1|Blatri1_439726	21
Blatri1|Blatri1_440328	37
Blatri1|Blatri1_441245	20
Blatri1|Blatri1_441940	32
Blatri1|Blatri1_442793	18
Blatri1|Blatri1_442973	14
Blatri1|Blatri1_443675	24
Blatri1|Blatri1_443792	23
Blatri1|Blatri1_444341	20
Blatri1|Blatri1_445277	48
Blatri1|Blatri1_446094	20
Blatri1|Blatri1_446852	18
Blatri1|Blatri1_447031	15
Blatri1|Blatri1_447082	11
Blatri1|Blatri1_448126	13
Blatri1|Blatri1_448171	10
Blatri1|Blatri1_448189	38
Blatri1|Blatri1_448503	10
Blatri1|Blatri1_448756	10
Blatri1|Blatri1_448942	16
Blatri1|Blatri1_448983	13
Blatri1|Blatri1_449070	75
Blatri1|Blatri1_449284	13
Blatri1|Blatri1_450120	44
Blatri1|Blatri1_450328	49
Blatri1|Blatri1_450664	10
Blatri1|Blatri1_450917	18
Blatri1|Blatri1_454054	35
Blatri1|Blatri1_454261	15
Blatri1|Blatri1_454725	22
Blatri1|Blatri1_481803	17
Blatri1|Blatri1_481845	33
Blatri1|Blatri1_482084	20
Blatri1|Blatri1_483362	10
Blatri1|Blatri1_484455	10
Blatri1|Blatri1_484825	10
Blatri1|Blatri1_485870	17
Blatri1|Blatri1_486820	13
Blatri1|Blatri1_493343	12
