Protein	PolyQlength
Tolpa1|Tolpa1_300	11
Tolpa1|Tolpa1_791	12
Tolpa1|Tolpa1_2449	10
Tolpa1|Tolpa1_2720	12
Tolpa1|Tolpa1_2795	10
Tolpa1|Tolpa1_3083	11
Tolpa1|Tolpa1_3582	12
Tolpa1|Tolpa1_3851	11
Tolpa1|Tolpa1_4621	13
Tolpa1|Tolpa1_5400	11
Tolpa1|Tolpa1_5682	11
Tolpa1|Tolpa1_5771	10
Tolpa1|Tolpa1_5849	11
Tolpa1|Tolpa1_6074	36
Tolpa1|Tolpa1_6144	18
Tolpa1|Tolpa1_6452	10
Tolpa1|Tolpa1_6479	17
Tolpa1|Tolpa1_6581	11
Tolpa1|Tolpa1_7487	10
Tolpa1|Tolpa1_7760	12
Tolpa1|Tolpa1_7778	11
Tolpa1|Tolpa1_7984	12
Tolpa1|Tolpa1_8425	13
Tolpa1|Tolpa1_8639	12
Tolpa1|Tolpa1_8670	18
Tolpa1|Tolpa1_8918	11
Tolpa1|Tolpa1_8952	11
