Protein	PolyQlength
Mucrac1|Mucrac1_14	22
Mucrac1|Mucrac1_36	23
Mucrac1|Mucrac1_83	20
Mucrac1|Mucrac1_86	11
Mucrac1|Mucrac1_140	185
Mucrac1|Mucrac1_180	27
Mucrac1|Mucrac1_181	16
Mucrac1|Mucrac1_188	12
Mucrac1|Mucrac1_189	23
Mucrac1|Mucrac1_203	26
Mucrac1|Mucrac1_218	15
Mucrac1|Mucrac1_223	22
Mucrac1|Mucrac1_228	12
Mucrac1|Mucrac1_299	91
Mucrac1|Mucrac1_361	15
Mucrac1|Mucrac1_427	15
Mucrac1|Mucrac1_432	13
Mucrac1|Mucrac1_433	32
Mucrac1|Mucrac1_435	13
Mucrac1|Mucrac1_438	19
Mucrac1|Mucrac1_442	14
Mucrac1|Mucrac1_474	17
Mucrac1|Mucrac1_476	184
Mucrac1|Mucrac1_486	19
Mucrac1|Mucrac1_516	41
Mucrac1|Mucrac1_523	10
Mucrac1|Mucrac1_526	15
Mucrac1|Mucrac1_531	10
Mucrac1|Mucrac1_543	10
Mucrac1|Mucrac1_549	15
Mucrac1|Mucrac1_556	30
Mucrac1|Mucrac1_558	17
Mucrac1|Mucrac1_561	16
Mucrac1|Mucrac1_566	17
Mucrac1|Mucrac1_572	19
Mucrac1|Mucrac1_582	11
Mucrac1|Mucrac1_607	27
Mucrac1|Mucrac1_624	18
Mucrac1|Mucrac1_693	15
Mucrac1|Mucrac1_705	31
Mucrac1|Mucrac1_731	12
Mucrac1|Mucrac1_733	10
Mucrac1|Mucrac1_734	10
Mucrac1|Mucrac1_791	211
Mucrac1|Mucrac1_805	11
Mucrac1|Mucrac1_807	14
Mucrac1|Mucrac1_824	30
Mucrac1|Mucrac1_832	13
Mucrac1|Mucrac1_838	21
Mucrac1|Mucrac1_840	16
Mucrac1|Mucrac1_843	10
Mucrac1|Mucrac1_863	10
Mucrac1|Mucrac1_875	23
Mucrac1|Mucrac1_882	15
Mucrac1|Mucrac1_927	10
Mucrac1|Mucrac1_931	15
Mucrac1|Mucrac1_939	16
Mucrac1|Mucrac1_966	181
Mucrac1|Mucrac1_981	21
Mucrac1|Mucrac1_995	23
Mucrac1|Mucrac1_1011	11
Mucrac1|Mucrac1_1034	12
Mucrac1|Mucrac1_1040	11
Mucrac1|Mucrac1_1048	16
Mucrac1|Mucrac1_1049	11
Mucrac1|Mucrac1_1079	12
Mucrac1|Mucrac1_1082	11
Mucrac1|Mucrac1_1109	17
Mucrac1|Mucrac1_1166	14
Mucrac1|Mucrac1_1173	13
Mucrac1|Mucrac1_1176	11
Mucrac1|Mucrac1_1207	13
Mucrac1|Mucrac1_1218	11
Mucrac1|Mucrac1_1232	11
Mucrac1|Mucrac1_1243	12
Mucrac1|Mucrac1_1277	184
Mucrac1|Mucrac1_1281	11
Mucrac1|Mucrac1_1288	11
Mucrac1|Mucrac1_1289	17
Mucrac1|Mucrac1_1331	13
Mucrac1|Mucrac1_1332	10
Mucrac1|Mucrac1_1369	184
Mucrac1|Mucrac1_1373	12
Mucrac1|Mucrac1_1374	10
Mucrac1|Mucrac1_1405	15
Mucrac1|Mucrac1_1418	13
Mucrac1|Mucrac1_1421	22
Mucrac1|Mucrac1_1425	23
Mucrac1|Mucrac1_1447	19
Mucrac1|Mucrac1_1450	14
Mucrac1|Mucrac1_1477	12
Mucrac1|Mucrac1_1490	10
Mucrac1|Mucrac1_1500	19
Mucrac1|Mucrac1_1503	10
Mucrac1|Mucrac1_1542	32
Mucrac1|Mucrac1_1571	13
Mucrac1|Mucrac1_1596	23
Mucrac1|Mucrac1_1624	10
Mucrac1|Mucrac1_1675	170
Mucrac1|Mucrac1_1695	12
Mucrac1|Mucrac1_1706	37
Mucrac1|Mucrac1_1713	15
Mucrac1|Mucrac1_1715	11
Mucrac1|Mucrac1_1733	14
Mucrac1|Mucrac1_1736	16
Mucrac1|Mucrac1_1779	30
Mucrac1|Mucrac1_1794	23
Mucrac1|Mucrac1_1795	10
Mucrac1|Mucrac1_1801	10
Mucrac1|Mucrac1_1854	20
Mucrac1|Mucrac1_1860	19
Mucrac1|Mucrac1_1888	12
Mucrac1|Mucrac1_1891	19
Mucrac1|Mucrac1_1922	10
Mucrac1|Mucrac1_1941	15
Mucrac1|Mucrac1_2026	166
Mucrac1|Mucrac1_2041	24
Mucrac1|Mucrac1_2073	11
Mucrac1|Mucrac1_2092	17
Mucrac1|Mucrac1_2119	12
Mucrac1|Mucrac1_2153	21
Mucrac1|Mucrac1_2168	13
Mucrac1|Mucrac1_2173	11
Mucrac1|Mucrac1_2197	10
Mucrac1|Mucrac1_2206	10
