Protein	PolyQlength
Fusve2|Fusve2_593	10
Fusve2|Fusve2_1149	11
Fusve2|Fusve2_2702	10
Fusve2|Fusve2_4164	10
Fusve2|Fusve2_5208	14
Fusve2|Fusve2_5365	12
Fusve2|Fusve2_5366	12
Fusve2|Fusve2_5367	12
Fusve2|Fusve2_5368	12
Fusve2|Fusve2_5369	12
Fusve2|Fusve2_5370	12
Fusve2|Fusve2_5371	12
Fusve2|Fusve2_6164	12
Fusve2|Fusve2_7387	20
Fusve2|Fusve2_7388	20
Fusve2|Fusve2_9474	11
Fusve2|Fusve2_10175	12
Fusve2|Fusve2_10176	12
Fusve2|Fusve2_15205	28
Fusve2|Fusve2_15206	28
Fusve2|Fusve2_15207	28
Fusve2|Fusve2_15208	28
Fusve2|Fusve2_15209	28
Fusve2|Fusve2_17858	10
Fusve2|Fusve2_18347	14
Fusve2|Fusve2_19568	10
Fusve2|Fusve2_19569	10
Fusve2|Fusve2_19570	10
Fusve2|Fusve2_19571	10
Fusve2|Fusve2_19572	10
Fusve2|Fusve2_19573	10
