Protein	PolyQlength
DBVPG3237|DBVPG3237_000344-T1	11
DBVPG3237|DBVPG3237_000424-T1	13
DBVPG3237|DBVPG3237_000598-T1	12
DBVPG3237|DBVPG3237_000887-T1	12
DBVPG3237|DBVPG3237_000902-T1	10
DBVPG3237|DBVPG3237_000937-T1	10
DBVPG3237|DBVPG3237_001310-T1	12
DBVPG3237|DBVPG3237_001373-T1	19
DBVPG3237|DBVPG3237_001660-T1	13
DBVPG3237|DBVPG3237_001834-T1	12
DBVPG3237|DBVPG3237_001867-T1	11
DBVPG3237|DBVPG3237_001912-T1	10
DBVPG3237|DBVPG3237_001942-T1	16
DBVPG3237|DBVPG3237_002256-T1	19
DBVPG3237|DBVPG3237_002560-T1	11
DBVPG3237|DBVPG3237_002668-T1	20
DBVPG3237|DBVPG3237_002745-T1	10
DBVPG3237|DBVPG3237_002785-T1	10
DBVPG3237|DBVPG3237_002789-T1	10
DBVPG3237|DBVPG3237_003191-T1	10
DBVPG3237|DBVPG3237_003245-T1	17
DBVPG3237|DBVPG3237_003617-T1	13
DBVPG3237|DBVPG3237_003678-T1	15
DBVPG3237|DBVPG3237_004315-T1	10
DBVPG3237|DBVPG3237_004624-T1	12
DBVPG3237|DBVPG3237_004869-T1	11
DBVPG3237|DBVPG3237_005137-T1	15
DBVPG3237|DBVPG3237_005157-T1	16
DBVPG3237|DBVPG3237_005363-T1	10
DBVPG3237|DBVPG3237_005511-T1	11
DBVPG3237|DBVPG3237_005622-T1	10
DBVPG3237|DBVPG3237_005730-T1	10
DBVPG3237|DBVPG3237_005771-T1	10
DBVPG3237|DBVPG3237_005852-T1	10
DBVPG3237|DBVPG3237_005914-T1	10
DBVPG3237|DBVPG3237_006209-T1	11
DBVPG3237|DBVPG3237_006226-T1	13
DBVPG3237|DBVPG3237_006492-T1	12
DBVPG3237|DBVPG3237_006497-T1	12
DBVPG3237|DBVPG3237_006623-T1	12
DBVPG3237|DBVPG3237_006844-T1	12
