Protein	PolyQlength
Chlpad1|Chlpad1_2340	15
Chlpad1|Chlpad1_6057	12
Chlpad1|Chlpad1_6283	20
Chlpad1|Chlpad1_7365	14
Chlpad1|Chlpad1_13667	11
Chlpad1|Chlpad1_16693	10
Chlpad1|Chlpad1_23593	14
Chlpad1|Chlpad1_47056	17
Chlpad1|Chlpad1_52496	18
Chlpad1|Chlpad1_54194	10
Chlpad1|Chlpad1_56123	11
Chlpad1|Chlpad1_73072	10
Chlpad1|Chlpad1_73828	10
Chlpad1|Chlpad1_78120	12
Chlpad1|Chlpad1_79693	10
Chlpad1|Chlpad1_80938	12
Chlpad1|Chlpad1_92740	30
Chlpad1|Chlpad1_136934	11
Chlpad1|Chlpad1_137505	14
Chlpad1|Chlpad1_140285	12
Chlpad1|Chlpad1_149406	10
Chlpad1|Chlpad1_151199	11
Chlpad1|Chlpad1_153027	13
Chlpad1|Chlpad1_157680	13
Chlpad1|Chlpad1_167088	17
Chlpad1|Chlpad1_184023	17
Chlpad1|Chlpad1_185472	12
Chlpad1|Chlpad1_185712	14
Chlpad1|Chlpad1_191847	16
Chlpad1|Chlpad1_194532	10
Chlpad1|Chlpad1_223040	15
Chlpad1|Chlpad1_223643	11
Chlpad1|Chlpad1_230112	15
Chlpad1|Chlpad1_236949	13
Chlpad1|Chlpad1_244792	31
Chlpad1|Chlpad1_263565	12
Chlpad1|Chlpad1_266915	15
Chlpad1|Chlpad1_342692	11
Chlpad1|Chlpad1_350126	11
Chlpad1|Chlpad1_350693	10
Chlpad1|Chlpad1_353149	12
Chlpad1|Chlpad1_359857	22
Chlpad1|Chlpad1_362318	10
Chlpad1|Chlpad1_364578	35
Chlpad1|Chlpad1_366278	18
Chlpad1|Chlpad1_367790	14
Chlpad1|Chlpad1_367805	12
Chlpad1|Chlpad1_368272	12
Chlpad1|Chlpad1_372880	11
Chlpad1|Chlpad1_377162	11
Chlpad1|Chlpad1_377250	13
Chlpad1|Chlpad1_377512	10
Chlpad1|Chlpad1_379780	10
Chlpad1|Chlpad1_385147	13
Chlpad1|Chlpad1_386266	11
Chlpad1|Chlpad1_386335	11
Chlpad1|Chlpad1_388827	50
Chlpad1|Chlpad1_388919	31
Chlpad1|Chlpad1_390911	14
Chlpad1|Chlpad1_391566	13
Chlpad1|Chlpad1_392343	11
Chlpad1|Chlpad1_394654	16
Chlpad1|Chlpad1_398828	16
Chlpad1|Chlpad1_399152	11
Chlpad1|Chlpad1_403956	10
Chlpad1|Chlpad1_405192	10
Chlpad1|Chlpad1_405325	14
Chlpad1|Chlpad1_405964	12
Chlpad1|Chlpad1_407574	11
Chlpad1|Chlpad1_407783	22
Chlpad1|Chlpad1_407936	14
Chlpad1|Chlpad1_408061	13
Chlpad1|Chlpad1_408320	10
Chlpad1|Chlpad1_408581	10
Chlpad1|Chlpad1_408877	10
Chlpad1|Chlpad1_409038	12
Chlpad1|Chlpad1_409447	10
Chlpad1|Chlpad1_409814	14
Chlpad1|Chlpad1_410412	10
