Protein	PolyQlength
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000031-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000326-T1	18
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000360-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000611-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000653-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000708-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_000788-T1	43
TFCN25-0-2E333-1|TFCN25-0-2E333-1_001276-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_001459-T1	14
TFCN25-0-2E333-1|TFCN25-0-2E333-1_001508-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_001549-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_001627-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_001826-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_002072-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_002476-T1	15
TFCN25-0-2E333-1|TFCN25-0-2E333-1_002686-T1	16
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003040-T1	16
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003174-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003207-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003253-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003284-T1	16
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003351-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003423-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003621-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_003859-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_004151-T1	19
TFCN25-0-2E333-1|TFCN25-0-2E333-1_004683-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_004715-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005009-T1	19
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005073-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005185-T1	14
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005384-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005459-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005517-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005879-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_005902-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_006006-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_006284-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_006427-T1	15
TFCN25-0-2E333-1|TFCN25-0-2E333-1_007005-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_007199-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_007369-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_007807-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008014-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008078-T1	21
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008183-T1	15
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008382-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008442-T1	16
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008738-T1	15
TFCN25-0-2E333-1|TFCN25-0-2E333-1_008915-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_009137-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_009170-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_009407-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_009500-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_010136-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_010210-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_010490-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_010826-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_010932-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011060-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011391-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011465-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011589-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011675-T1	16
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011807-T1	17
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011827-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011877-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011944-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_011990-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_012202-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_012430-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_012557-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_012703-T1	33
TFCN25-0-2E333-1|TFCN25-0-2E333-1_013114-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_013154-T1	10
TFCN25-0-2E333-1|TFCN25-0-2E333-1_013188-T1	15
TFCN25-0-2E333-1|TFCN25-0-2E333-1_013473-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_013816-T1	14
TFCN25-0-2E333-1|TFCN25-0-2E333-1_014100-T1	11
TFCN25-0-2E333-1|TFCN25-0-2E333-1_014181-T1	12
TFCN25-0-2E333-1|TFCN25-0-2E333-1_014333-T1	13
TFCN25-0-2E333-1|TFCN25-0-2E333-1_014452-T1	18
TFCN25-0-2E333-1|TFCN25-0-2E333-1_014638-T1	11
