Protein	PolyQlength
Exigl1|Exigl1_118127	21
Exigl1|Exigl1_485733	19
Exigl1|Exigl1_494700	16
Exigl1|Exigl1_512032	11
Exigl1|Exigl1_641261	13
Exigl1|Exigl1_686736	10
Exigl1|Exigl1_695029	11
Exigl1|Exigl1_700510	10
Exigl1|Exigl1_700817	13
Exigl1|Exigl1_706228	12
Exigl1|Exigl1_715940	11
Exigl1|Exigl1_719087	10
Exigl1|Exigl1_724817	21
Exigl1|Exigl1_725619	13
Exigl1|Exigl1_730899	11
Exigl1|Exigl1_738938	10
Exigl1|Exigl1_740784	13
Exigl1|Exigl1_742822	10
Exigl1|Exigl1_753077	13
Exigl1|Exigl1_760662	12
Exigl1|Exigl1_762444	10
Exigl1|Exigl1_770317	13
Exigl1|Exigl1_770336	12
Exigl1|Exigl1_770479	24
Exigl1|Exigl1_775338	13
Exigl1|Exigl1_775570	51
Exigl1|Exigl1_777459	18
Exigl1|Exigl1_782017	10
Exigl1|Exigl1_801327	10
Exigl1|Exigl1_804589	10
Exigl1|Exigl1_828295	13
Exigl1|Exigl1_844163	10
