Protein	PolyQlength
Trich1|Trich1_6827	20
Trich1|Trich1_14368	10
Trich1|Trich1_18395	11
Trich1|Trich1_24474	15
Trich1|Trich1_36226	27
Trich1|Trich1_50412	11
Trich1|Trich1_53924	10
Trich1|Trich1_65832	15
Trich1|Trich1_91989	16
Trich1|Trich1_101382	14
Trich1|Trich1_101668	12
Trich1|Trich1_109051	10
Trich1|Trich1_126738	15
Trich1|Trich1_128553	11
Trich1|Trich1_128879	12
Trich1|Trich1_130193	11
Trich1|Trich1_139228	11
Trich1|Trich1_140012	18
Trich1|Trich1_141907	12
Trich1|Trich1_142869	17
Trich1|Trich1_143934	24
Trich1|Trich1_151928	32
Trich1|Trich1_152233	12
Trich1|Trich1_155487	20
Trich1|Trich1_160444	13
Trich1|Trich1_160622	16
Trich1|Trich1_160857	12
Trich1|Trich1_161971	10
Trich1|Trich1_162598	14
Trich1|Trich1_163238	11
