Protein	PolyQlength
Dicele1|Dicele1_8977	10
Dicele1|Dicele1_153282	10
Dicele1|Dicele1_180392	11
Dicele1|Dicele1_193150	12
Dicele1|Dicele1_227824	27
Dicele1|Dicele1_366152	15
Dicele1|Dicele1_370328	14
Dicele1|Dicele1_408001	12
Dicele1|Dicele1_498730	10
Dicele1|Dicele1_518834	12
Dicele1|Dicele1_526120	15
Dicele1|Dicele1_537545	13
Dicele1|Dicele1_551314	15
Dicele1|Dicele1_607154	20
Dicele1|Dicele1_676613	20
Dicele1|Dicele1_720349	10
Dicele1|Dicele1_747277	11
Dicele1|Dicele1_854012	11
Dicele1|Dicele1_854404	14
Dicele1|Dicele1_867293	16
Dicele1|Dicele1_868757	13
Dicele1|Dicele1_885354	11
Dicele1|Dicele1_892793	13
Dicele1|Dicele1_947839	20
Dicele1|Dicele1_1069443	19
Dicele1|Dicele1_1092521	10
Dicele1|Dicele1_1092741	10
Dicele1|Dicele1_1148003	13
Dicele1|Dicele1_1171573	12
Dicele1|Dicele1_1179722	10
Dicele1|Dicele1_1230584	12
Dicele1|Dicele1_1252565	19
Dicele1|Dicele1_1262191	12
Dicele1|Dicele1_1280683	19
Dicele1|Dicele1_1289641	28
Dicele1|Dicele1_1312158	18
Dicele1|Dicele1_1348453	17
Dicele1|Dicele1_1376655	16
Dicele1|Dicele1_1493421	11
Dicele1|Dicele1_1494802	21
Dicele1|Dicele1_1511250	14
Dicele1|Dicele1_1517289	14
Dicele1|Dicele1_1521746	12
Dicele1|Dicele1_1557054	10
Dicele1|Dicele1_1631024	16
Dicele1|Dicele1_1637062	10
Dicele1|Dicele1_1666496	10
Dicele1|Dicele1_1836388	14
Dicele1|Dicele1_1837210	11
Dicele1|Dicele1_1847885	10
Dicele1|Dicele1_1848651	15
Dicele1|Dicele1_1850751	13
Dicele1|Dicele1_1851080	10
Dicele1|Dicele1_1853391	10
Dicele1|Dicele1_1853541	13
Dicele1|Dicele1_1853706	13
Dicele1|Dicele1_1855141	12
Dicele1|Dicele1_1856096	12
Dicele1|Dicele1_1859621	10
Dicele1|Dicele1_1861479	13
Dicele1|Dicele1_1865658	24
Dicele1|Dicele1_1866148	13
Dicele1|Dicele1_1868173	19
Dicele1|Dicele1_1873319	12
Dicele1|Dicele1_1873637	14
Dicele1|Dicele1_1873871	10
Dicele1|Dicele1_1875054	11
Dicele1|Dicele1_1878576	11
Dicele1|Dicele1_1880292	12
Dicele1|Dicele1_1880764	10
Dicele1|Dicele1_1880970	10
Dicele1|Dicele1_1886088	14
Dicele1|Dicele1_1886177	10
Dicele1|Dicele1_1888102	15
Dicele1|Dicele1_1889424	12
Dicele1|Dicele1_1889719	12
Dicele1|Dicele1_1891188	10
Dicele1|Dicele1_1893425	14
Dicele1|Dicele1_1895899	14
Dicele1|Dicele1_1897223	10
Dicele1|Dicele1_1897800	13
Dicele1|Dicele1_1898882	11
Dicele1|Dicele1_1899436	12
Dicele1|Dicele1_1900171	12
Dicele1|Dicele1_1905016	18
Dicele1|Dicele1_1905305	11
Dicele1|Dicele1_1907836	14
Dicele1|Dicele1_1909141	11
Dicele1|Dicele1_1911626	11
Dicele1|Dicele1_1912144	12
Dicele1|Dicele1_1913632	12
Dicele1|Dicele1_1916486	11
Dicele1|Dicele1_1919390	12
Dicele1|Dicele1_1921447	16
Dicele1|Dicele1_1921522	12
Dicele1|Dicele1_1924351	11
Dicele1|Dicele1_1924383	13
Dicele1|Dicele1_1927470	11
Dicele1|Dicele1_1927524	17
Dicele1|Dicele1_1931390	13
Dicele1|Dicele1_1931674	13
Dicele1|Dicele1_1933144	11
Dicele1|Dicele1_1937529	20
Dicele1|Dicele1_1940627	10
Dicele1|Dicele1_1946394	11
Dicele1|Dicele1_1946472	15
Dicele1|Dicele1_1946551	12
Dicele1|Dicele1_1946924	11
Dicele1|Dicele1_1947447	11
Dicele1|Dicele1_1948556	12
Dicele1|Dicele1_1948570	10
Dicele1|Dicele1_1949439	16
Dicele1|Dicele1_1951078	12
Dicele1|Dicele1_1951091	10
Dicele1|Dicele1_1952362	10
Dicele1|Dicele1_1954292	12
Dicele1|Dicele1_1955158	11
Dicele1|Dicele1_1956151	16
Dicele1|Dicele1_1958122	11
Dicele1|Dicele1_1961316	11
Dicele1|Dicele1_1965098	11
Dicele1|Dicele1_1966767	10
Dicele1|Dicele1_1967431	13
Dicele1|Dicele1_1967522	11
Dicele1|Dicele1_1970297	14
Dicele1|Dicele1_1970702	12
Dicele1|Dicele1_1971475	15
Dicele1|Dicele1_1971911	10
Dicele1|Dicele1_1972179	13
Dicele1|Dicele1_1972918	10
Dicele1|Dicele1_1973015	18
Dicele1|Dicele1_1973436	12
Dicele1|Dicele1_1974157	13
Dicele1|Dicele1_1975973	11
Dicele1|Dicele1_1976617	13
Dicele1|Dicele1_1980059	11
Dicele1|Dicele1_1981818	15
Dicele1|Dicele1_1983390	12
Dicele1|Dicele1_1985143	11
Dicele1|Dicele1_1986138	12
Dicele1|Dicele1_1989313	15
Dicele1|Dicele1_1989419	11
Dicele1|Dicele1_1989862	10
Dicele1|Dicele1_1990681	11
Dicele1|Dicele1_1991151	11
Dicele1|Dicele1_1994621	16
Dicele1|Dicele1_1996581	12
Dicele1|Dicele1_2000116	15
Dicele1|Dicele1_2003975	13
Dicele1|Dicele1_2004383	16
Dicele1|Dicele1_2005293	21
Dicele1|Dicele1_2006716	12
Dicele1|Dicele1_2011039	11
Dicele1|Dicele1_2018650	18
Dicele1|Dicele1_2018837	10
Dicele1|Dicele1_2018842	10
Dicele1|Dicele1_2020541	10
Dicele1|Dicele1_2020852	20
Dicele1|Dicele1_2022715	15
Dicele1|Dicele1_2023418	12
Dicele1|Dicele1_2023447	10
Dicele1|Dicele1_2024352	13
Dicele1|Dicele1_2024622	11
Dicele1|Dicele1_2025890	13
Dicele1|Dicele1_2026039	11
Dicele1|Dicele1_2026652	11
Dicele1|Dicele1_2026952	10
Dicele1|Dicele1_2027010	16
Dicele1|Dicele1_2027393	11
Dicele1|Dicele1_2027847	10
Dicele1|Dicele1_2028063	10
Dicele1|Dicele1_2028268	11
Dicele1|Dicele1_2028526	10
Dicele1|Dicele1_2028544	12
Dicele1|Dicele1_2030082	14
Dicele1|Dicele1_2030531	14
Dicele1|Dicele1_2030946	41
Dicele1|Dicele1_2031131	10
Dicele1|Dicele1_2031947	13
Dicele1|Dicele1_2032110	42
Dicele1|Dicele1_2032353	17
Dicele1|Dicele1_2032431	14
Dicele1|Dicele1_2032687	10
Dicele1|Dicele1_2032690	12
Dicele1|Dicele1_2051058	13
Dicele1|Dicele1_2090978	11
Dicele1|Dicele1_2092990	11
Dicele1|Dicele1_2104129	10
Dicele1|Dicele1_2108744	10
Dicele1|Dicele1_2113635	11
Dicele1|Dicele1_2116156	10
Dicele1|Dicele1_2120313	16
Dicele1|Dicele1_2120625	10
Dicele1|Dicele1_2123694	33
Dicele1|Dicele1_2123758	35
Dicele1|Dicele1_2132392	13
Dicele1|Dicele1_2150178	11
