Protein	PolyQlength
Pursp1|Pursp1_20219	10
Pursp1|Pursp1_27143	10
Pursp1|Pursp1_43879	14
Pursp1|Pursp1_56832	13
Pursp1|Pursp1_89390	13
Pursp1|Pursp1_94135	10
Pursp1|Pursp1_141141	15
Pursp1|Pursp1_154386	11
Pursp1|Pursp1_232733	11
Pursp1|Pursp1_234456	12
Pursp1|Pursp1_248097	10
Pursp1|Pursp1_250995	13
Pursp1|Pursp1_263726	12
Pursp1|Pursp1_268794	11
Pursp1|Pursp1_272795	15
Pursp1|Pursp1_300464	12
Pursp1|Pursp1_312182	16
Pursp1|Pursp1_343505	14
Pursp1|Pursp1_344694	12
Pursp1|Pursp1_355631	21
Pursp1|Pursp1_358738	10
Pursp1|Pursp1_360078	11
Pursp1|Pursp1_360879	10
Pursp1|Pursp1_361071	10
Pursp1|Pursp1_363040	10
Pursp1|Pursp1_363243	54
Pursp1|Pursp1_364479	17
Pursp1|Pursp1_365231	11
Pursp1|Pursp1_373191	13
Pursp1|Pursp1_373245	10
Pursp1|Pursp1_373745	16
Pursp1|Pursp1_375243	17
Pursp1|Pursp1_392561	12
Pursp1|Pursp1_397990	10
Pursp1|Pursp1_424304	10
Pursp1|Pursp1_427796	15
